,HomeTeam,AwayTeam,HomeMax4thLead,RoadMax4thLead,HomeWinMargin
334,TOR,MIL,12,-5,7
335,MEM,CHA,-18,28,-24
336,NO,WSH,3,7,2
337,DEN,MIN,1,7,3
338,UTAH,OKC,-1,12,-4
339,SA,LAL,24,-8,22
340,PHX,POR,4,13,-10
341,BKN,LAC,-2,18,-5
342,CHA,BOS,1,5,-5
343,DET,IND,25,-19,22
344,ATL,SA,-16,27,-25
345,CHI,NO,4,3,4
346,HOU,LAL,29,-11,29
347,DAL,WSH,-1,19,-3
348,MIL,GS,13,-3,13
349,POR,NY,6,6,-2
350,PHX,MIN,19,-5,7
351,MIA,MEM,3,10,3
352,TOR,PHI,20,-6,20
353,OKC,UTAH,0,9,6
354,IND,TOR,25,-9,16
355,BKN,ORL,-14,24,-23
356,DET,LAC,6,10,-2
357,ATL,MIA,-9,18,-12
358,CHI,PHI,28,-18,19
359,MEM,WSH,22,-11,17
360,DAL,PHX,23,-6,10
361,SA,UTAH,44,-34,37
362,DEN,HOU,16,-2,6
363,POR,NO,13,-4,4
364,BOS,CLE,-8,15,-12
365,MIN,DEN,-11,16,-12
366,SAC,HOU,14,-8,10
367,LAL,MIL,21,-15,18
368,IND,DAL,26,-11,26
369,ORL,CHA,25,-13,15
370,BKN,MIA,-1,10,-6
371,DET,BOS,12,0,3
372,NY,MIN,13,-3,5
373,ATL,PHI,26,-15,21
374,CHI,MEM,13,-8,13
375,OKC,POR,24,-16,16
376,SA,WSH,22,-16,19
377,UTAH,NO,3,10,-10
378,GS,PHX,40,-23,25
379,LAC,MIL,14,-7,13
380,CHA,TOR,12,0,10
381,CLE,OKC,11,4,4
382,LAL,HOU,-5,20,-20
383,IND,BKN,12,7,7
384,ORL,POR,14,-6,8
385,PHI,NY,-10,30,-10
386,BOS,ATL,6,10,-8
387,MIA,TOR,-2,14,-14
388,CHI,DET,5,4,-3
389,MIN,SAC,8,1,4
390,SA,LAC,8,3,8
391,DAL,MEM,18,-9,9
392,UTAH,DEN,9,4,9
393,PHX,NO,16,-10,16
394,GS,MIL,9,11,9
395,OKC,LAL,46,-32,40
396,WSH,CHA,15,-3,8
397,NY,CHI,22,-9,16
398,HOU,LAC,19,-8,10
399,MEM,IND,14,-5,12
400,BKN,MIN,-10,20,-15
401,MIA,POR,8,4,7
402,CLE,PHI,35,-22,22
403,PHX,MIL,7,6,-6
404,ORL,ATL,3,3,-3
405,TOR,SAC,-4,12,-10
406,DEN,NO,4,7,-5
407,WSH,SAC,15,-3,14
408,BOS,MIN,22,-12,14
409,NY,ORL,-1,10,-8
410,ATL,POR,21,-8,9
411,CHI,BKN,-2,10,-3
412,HOU,CHA,13,1,7
413,SA,IND,16,-8,14
414,UTAH,PHX,24,-13,21
415,LAC,OKC,8,1,-1
416,PHI,MEM,-11,19,-14
417,MIA,DET,7,2,-1
418,TOR,DAL,16,-2,4
419,DEN,LAL,1,7,-4
420,CHA,BOS,-6,14,-13
421,CLE,NY,7,2,7
422,IND,SAC,2,9,-2
423,ORL,HOU,14,1,3
424,WSH,MEM,14,-7,9
425,BKN,DAL,11,3,-1
426,ATL,DET,18,-7,7
427,MIL,PHI,22,-13,13
428,MIN,SA,-17,25,-25
429,NO,POR,26,-17,26
430,PHX,DEN,-3,11,-8
431,GS,UTAH,18,-10,18
432,LAL,OKC,-30,37,-35
433,MIA,NO,13,2,6
434,OKC,CHI,-6,18,-9
435,GS,CLE,8,-3,6
436,HOU,SA,9,-1,4
437,LAL,LAC,-8,28,-10
438,MIL,TOR,1,21,-21
439,ATL,NY,22,-12,19
440,CHA,MEM,6,5,6
441,ORL,MIA,7,7,-7
442,NO,HOU,3,9,2
443,DET,BOS,-4,16,-6
444,BKN,WSH,-2,21,-15
445,MIN,IND,2,14,-14
446,DAL,CHI,7,1,7
447,SA,DEN,18,-11,15
448,PHX,PHI,-6,16,-7
449,UTAH,LAC,3,5,-5
450,POR,CLE,34,-28,29
451,BOS,NY,14,-5,9
452,MEM,LAL,25,-16,16
453,OKC,DEN,12,1,10
454,SAC,POR,2,6,-4
455,CHA,LAL,11,-3,10
456,IND,ATL,10,-3,6
457,ORL,NO,18,-12,15
458,WSH,LAC,-13,26,-17
459,MIA,BKN,-1,11,-6
460,CHI,TOR,13,-5,7
461,DAL,MIL,10,-1,10
462,SA,MIN,9,-4,6
463,PHX,CLE,-1,9,-4
464,UTAH,PHI,5,4,4
465,GS,SAC,19,-12,19
466,NY,DET,16,-4,12
467,HOU,ATL,11,6,-6
468,MEM,MIA,9,0,9
469,OKC,MIL,14,-4,8
470,DEN,CLE,-6,14,-6
471,CHA,LAC,-2,11,-5
472,ORL,BKN,7,5,7
473,BOS,LAL,-4,12,-8
474,TOR,WSH,14,-1,3
475,CHI,IND,5,7,2
476,MIN,UTAH,16,-6,14
477,DAL,GS,27,-17,23
478,SA,PHX,38,-25,33
479,POR,DEN,13,-5,7
480,SAC,PHI,-2,7,-5
481,IND,MIL,-2,17,-4
482,HOU,GS,-3,11,-4
483,DET,MIN,27,-11,25
484,NO,LAC,1,9,-6
485,OKC,PHX,9,0,4
486,UTAH,POR,19,-13,13
487,WSH,ORL,12,2,12
488,MIA,DAL,26,-17,24
489,TOR,CHA,10,5,10
490,CHI,NY,27,-4,27
491,LAL,PHI,16,-3,9
492,BOS,BKN,0,10,-3
493,SAC,PHX,25,-16,23
494,CHA,OKC,-11,20,-19
495,IND,DET,12,-2,12
496,CLE,ORL,31,-22,25
497,MIN,MIL,-2,14,-10
498,DAL,NO,0,12,-7
499,SA,HOU,23,-17,18
500,UTAH,MEM,5,3,5
501,GS,DEN,13,0,3
502,LAC,PHI,38,-29,31
503,NY,ATL,13,-7,14
504,TOR,CHI,12,3,-2
505,WSH,MIA,-22,28,-22
506,DEN,POR,0,9,-6
507,LAL,PHX,30,-14,20
508,CLE,TOR,22,-7,22
509,PHI,MIN,12,-1,10
510,BKN,BOS,-5,11,-9
511,DET,ORL,30,-12,26
512,MIA,IND,1,8,3
513,MIL,SA,-15,25,-25
514,OKC,SAC,-5,13,-12
515,UTAH,HOU,6,4,-2
516,POR,MEM,-9,20,-13
517,GS,CHA,22,-9,10
518,ATL,NY,-2,14,-6
519,CHI,MIL,13,-5,11
520,DAL,SAC,9,2,1
521,LAL,GS,-21,32,-21
522,MIA,NY,-8,15,-8
523,ORL,IND,-2,11,-9
524,WSH,CLE,-2,13,-6
525,BOS,DET,7,6,-5
526,BKN,TOR,-10,18,-17
527,MIN,DEN,1,5,-4
528,NO,DAL,-3,14,-9
529,SA,UTAH,25,-18,25
530,PHX,CHA,9,-3,9
531,OKC,MEM,24,-15,18
532,POR,LAC,-6,17,-11
533,PHI,ATL,-23,33,-28
534,CHI,BOS,10,-6,9
535,HOU,UTAH,10,-4,9
536,SAC,LAL,16,2,3
537,WSH,TOR,-7,14,-9
538,BKN,ORL,4,9,-6
539,MEM,DEN,9,2,7
540,MIN,CLE,-17,28,-26
541,NO,IND,4,5,-5
542,MIL,DAL,8,1,1
543,SA,NY,12,-1,1
544,PHX,MIA,4,11,-8
545,POR,GS,-18,24,-20
546,LAL,OKC,3,11,-4
547,LAC,CHA,17,-6,14
548,ATL,CHI,17,-8,15
549,ORL,WSH,-6,15,-6
550,DET,BKN,17,-6,14
551,PHI,TOR,-4,17,-13
552,UTAH,MIA,15,-4,15
553,SAC,GS,-5,15,-12
554,MIN,DAL,-4,13,-6
555,LAC,NO,12,0,3
556,PHI,CLE,-2,16,-10
557,MEM,BOS,5,9,3
558,HOU,IND,0,12,4
559,NY,MIL,22,-10,12
560,DEN,CHA,10,-1,3
561,POR,OKC,5,8,5
562,LAL,UTAH,-9,13,-12
563,BKN,SA,-15,30,-27
564,CHI,WSH,-4,18,-14
565,GS,MIA,13,-3,8
566,IND,PHX,22,-4,19
567,DET,SA,-7,15,-10
568,NY,BOS,6,2,6
569,MEM,HOU,0,16,-16
570,MIL,CHI,6,8,5
571,MIN,OKC,-3,16,-5
572,DAL,CLE,5,4,-3
573,LAL,NO,4,7,4
574,CHA,ATL,35,-20,23
575,WSH,MIL,13,3,5
576,BKN,NY,8,4,6
577,BOS,IND,9,4,9
578,HOU,MIN,6,0,3
579,OKC,DAL,24,-14,19
580,DEN,GS,11,-1,2
581,POR,UTAH,20,-13,14
582,SAC,NO,-12,28,-12
583,LAC,MIA,20,-10,14
584,PHI,CHI,9,3,-4
585,ORL,TOR,0,9,-3
586,MEM,DET,11,6,2
587,SA,CLE,10,1,4
588,UTAH,SAC,0,14,-2
589,GS,LAL,20,-13,18
590,IND,WSH,-14,20,-14
591,OKC,MIN,26,-14,20
592,BOS,PHX,21,-13,14
593,BKN,POR,6,12,-12
594,CHI,DAL,4,7,-6
595,NO,CHA,9,1,2
596,MIL,ATL,0,5,7
597,DEN,MIA,2,5,-3
598,HOU,CLE,-14,21,-14
599,ATL,BKN,32,-16,28
600,CHA,MIL,-6,21,-13
601,WSH,BOS,4,5,-2
602,DET,GS,25,-11,18
603,PHI,POR,31,-24,25
604,MEM,NY,14,0,8
605,UTAH,LAL,31,-24,27
606,LAC,SAC,-2,9,-7
607,MIN,PHX,34,-12,30
608,OKC,MIA,26,-17,25
609,SA,DAL,31,-21,29
610,DEN,IND,3,10,3
611,LAL,HOU,-15,23,-17
612,NY,PHI,13,3,6
